Nombre,Ultimo,Maximo,Minimo,Var,Porc_Var
Ciena Corp,"51,02","52,52","51,00","-0,09","-0,18%"
Cigna,"308,36","316,26","307,96","-6,64","-2,11%"
Cinemark,"10,72","11,22","10,59","-0,37","-3,34%"
CIRCOR,"25,65","26,57","25,43","-0,41","-1,57%"
Citigroup,"49,43","50,47","49,24","-0,88","-1,75%"
Citizens,"2,360","2,490","2,340","0,000","0,00%"
Citizens Financial Group Inc,"40,90","41,49","40,24","+0,08","+0,20%"
City Office,"9,24","9,64","9,19","-0,22","-2,33%"
Civeo,"31,34","33,02","31,23","-1,16","-3,57%"
Civitas Resources,"60,55","62,91","60,51","+0,15","+0,25%"
CLARIVATE,"10,55","10,77","10,52","-0,06","-0,57%"
Claros Mortgage Trust,"16,24","16,44","16,17","-0,01","-0,06%"
Clean Harbors,"121,99","124,47","121,00","-0,51","-0,42%"
Clear Channel,"1,330","1,460","1,320","0,000","0,00%"
Clear Secure,"27,86","31,18","26,63","-2,81","-9,16%"
Clearwater Analytics Holdings,"18,49","19,16","18,48","-0,31","-1,65%"
Clearwater Paper,"35,31","35,62","35,11","-0,04","-0,11%"
Clearway Energy C,"34,20","35,00","34,10","-0,22","-0,64%"
Cleveland-Cliffs,"20,74","21,51","20,73","-0,18","-0,86%"
Clipper Realty,"6,880","7,040","6,870","-0,100","-1,43%"
Cloopen Group Holding,"0,780","0,800","0,769","0,001","0,13%"
Clorox,"143,32","147,47","143,19","-4,67","-3,16%"
Cloudflare,"44,25","47,44","44,23","-2,11","-4,55%"
CMS Energy,"61,31","63,67","61,16","-2,17","-3,42%"
CNA Financial,"42,53","43,00","42,49","-0,33","-0,77%"
CNFinance,"1,640","1,720","1,600","+0,050","+3,15%"
CNH Industrial NV,"17,08","17,41","17,08","+0,02","+0,12%"
CNO Financial,"22,65","23,14","22,57","-0,37","-1,61%"
CNX Resources,"16,06","16,85","16,05","-0,60","-3,60%"
Coca-Cola,"59,81","61,59","59,68","-1,87","-3,03%"
Coca-Cola Femsa ADR,"71,17","72,99","71,14","-1,01","-1,40%"
Coeur Mining,"3,670","3,815","3,662","+0,020","+0,55%"
Cohen Steers,"72,07","74,29","71,82","-0,94","-1,29%"
Colgate-Palmolive,"76,32","78,33","76,31","-1,91","-2,44%"
Comerica,"65,94","67,71","65,53","-2,26","-3,31%"
Comfort Systems,"118,86","121,85","118,86","-0,94","-0,78%"
Commercial Metals,"52,73","55,72","52,62","-2,44","-4,42%"
Community Bank System,"60,54","62,54","59,96","-2,34","-3,72%"
Community Health Systems,"4,43","4,76","4,41","-0,18","-3,90%"
Community Healthcare Trust Inc,"40,89","41,18","40,29","+0,20","+0,49%"
Companhia Brasileira de Distribuicao,"3,560","3,750","3,560","-0,120","-3,26%"
Compass,"3,48","3,84","3,47","-0,17","-4,66%"
Compass Diversified,"20,42","21,17","20,31","-0,71","-3,36%"
Compass Minerals,"45,67","47,44","45,62","-0,73","-1,57%"
Comstock Resources,"12,620","13,216","12,583","-0,440","-3,37%"
ConAgra Foods,"38,45","39,98","38,24","-1,58","-3,95%"
Concord Medical Services,"1,525","1,553","1,490","+0,255","+20,08%"
CONMED,"95,73","99,33","95,01","-0,28","-0,29%"
ConocoPhillips,"118,55","123,71","118,36","-1,69","-1,41%"
Consol Energy,"59,72","63,82","59,68","-1,89","-3,07%"
Consolidated Edison,"93,34","95,95","93,06","-2,15","-2,25%"
Constellation Brands A,"219,60","223,67","218,36","-4,18","-1,87%"
Constellium Nv,"14,10","14,78","13,97","+0,21","+1,51%"
Container Store,"4,95","5,26","4,95","-0,21","-4,07%"
Controladora Vuela ADR,"10,78","10,91","10,50","+0,17","+1,60%"
Cooper,"339,42","350,72","337,52","-5,91","-1,71%"
Cooper Stnd,"13,31","14,00","13,11","+0,21","+1,60%"
Copa,"91,60","93,37","91,00","-0,14","-0,15%"
COPEL Pref ADR,"7,260","7,545","7,240","-0,140","-1,89%"
Core Laboratories,"23,75","24,67","23,65","-0,40","-1,66%"
Core Main,"20,98","21,43","20,95","-0,19","-0,90%"
Corebridge Financial,"20,35","21,29","20,35","-0,89","-4,19%"
CoreCard,"32,19","33,00","31,58","-0,46","-1,41%"
CoreCivic,"11,04","11,33","10,98","-0,24","-2,13%"
Corenergy Infras,"2,090","2,210","2,060","-0,080","-3,69%"
Corning,"35,94","36,58","35,85","-0,01","-0,03%"
Corporación América Airports,"9,880","9,965","9,730","0,000","0,00%"
Corporate Office Properties,"27,44","28,35","27,42","-0,76","-2,70%"
Corteva,"61,51","63,06","61,41","-1,19","-1,90%"
Cosan ADR,"13,42","13,94","13,30","-0,04","-0,30%"
Costamare,"9,77","10,10","9,76","-0,05","-0,51%"
Coterra Energy,"24,68","25,51","24,67","-0,66","-2,60%"
Coty Inc,"9,420","9,600","9,315","-0,100","-1,05%"
Coupang LLC,"17,00","17,39","16,94","0,00","0,00%"
Coursera,"13,23","13,84","13,15","-0,14","-1,05%"
Cousins Properties,"25,81","26,54","25,64","-0,39","-1,49%"
Crane,"107,39","109,48","107,26","-1,01","-0,93%"
Crawford&Co,"6,330","6,440","6,250","-0,130","-2,01%"
Crawford&Comp D,"5,920","6,000","5,920","-0,105","-1,74%"
Credicorp,"142,93","144,87","142,83","-0,51","-0,36%"
Credit Suisse ADR,"3,49","3,63","3,48","-0,04","-1,13%"
Crescent Energy,"12,61","13,21","12,59","-0,18","-1,41%"
Crescent Point Energy,"7,090","7,455","7,075","-0,120","-1,66%"
CRH ADR,"44,72","45,52","44,70","-0,61","-1,35%"
Cross Timbers Royalty Trust,"24,62","25,75","24,62","-0,43","-1,72%"
Crown,"86,39","87,54","86,32","-0,35","-0,40%"
Crown Castle,"145,25","151,35","144,85","-5,06","-3,37%"
Crown PropTech Acquisitions,"10,140","10,145","10,140","0,000","0,00%"
CS Disco LLC,"6,48","6,94","6,41","-0,08","-1,22%"
CTO Realty Growth,"18,35","18,77","18,32","-0,25","-1,34%"
CTS Corp,"45,50","46,55","45,33","-0,49","-1,07%"
CubeSmart,"41,86","42,95","41,83","-0,53","-1,25%"
Cullen/Frost Bankers,"130,28","135,79","130,20","-6,29","-4,61%"
Culp,"5,44","5,55","5,41","-0,03","-0,55%"
Cummins,"241,37","250,23","240,98","-7,77","-3,12%"
Curo Group,"4,36","4,96","4,34","-0,37","-7,82%"
Curtiss-Wright,"159,52","166,21","159,49","-6,23","-3,76%"
Cushman & Wakefield,"13,65","13,99","13,58","-0,05","-0,37%"
Custom Truck One Source,"6,810","6,895","6,750","-0,010","-0,15%"
Customers Bancorp,"28,72","29,73","28,66","-0,74","-2,51%"
CVR Energy,"32,84","33,90","32,52","+0,24","+0,74%"
CVS Health Corp,"88,20","89,75","88,03","-1,17","-1,31%"
D Wave Quantum,"1,450","1,460","1,310","-0,060","-3,97%"
Dana,"17,16","17,87","17,07","-0,40","-2,28%"
Danaher,"270,62","278,79","269,75","-4,30","-1,56%"
Danaos,"56,55","58,11","56,12","+0,76","+1,36%"
Danimer Scientific,"2,09","2,33","2,06","-0,14","-6,28%"
Daqo New Energy ADR,"43,80","46,98","43,65","-2,98","-6,37%"
Darden Restaurants,"146,48","149,87","146,01","-2,53","-1,70%"
Darling Ingredients,"64,61","68,22","64,57","-2,09","-3,13%"
DaVita,"79,42","81,30","79,15","+0,35","+0,44%"
Deckers Outdoor,"420,34","427,01","420,01","+0,34","+0,08%"
Deere&Company,"425,99","443,12","425,63","-12,21","-2,79%"
Delek US Energy,"25,83","27,02","25,77","-0,28","-1,07%"
Dell Tech,"40,02","40,50","39,69","-0,01","-0,03%"
Delta Air Lines,"38,38","39,32","38,31","+0,12","+0,31%"
Deluxe,"19,34","19,69","19,04","-0,08","-0,41%"
Denbury Resources,"86,52","91,05","85,86","-2,58","-2,90%"
Designer Brands,"9,31","9,88","9,31","-0,27","-2,82%"
Desktop Metal,"1,77","1,93","1,73","-0,11","-5,85%"
Despegar.com,"6,00","6,32","5,86","+0,11","+1,87%"
Deutsche Bank AG,"12,85","13,06","12,82","-0,06","-0,46%"
Devon Energy,"62,62","65,41","62,59","-0,87","-1,37%"
DHI Group,"5,540","5,895","5,530","-0,010","-0,18%"
DHT Holdings Inc,"8,640","9,000","8,630","-0,230","-2,59%"
Diageo ADR,"183,43","187,30","183,01","-4,31","-2,30%"
Diamond Offshore Drilling,"11,34","11,85","11,21","-0,43","-3,65%"
Diamondrock Hospitality,"8,600","8,800","8,580","-0,180","-2,05%"
Diana Shipping,"3,750","3,870","3,740","0,000","0,00%"
Dick’s Sporting Goods,"124,45","127,63","123,07","-2,29","-1,81%"
Diebold,"2,17","2,32","2,06","+0,14","+6,90%"
Digital,"105,44","107,41","104,62","-1,41","-1,32%"
Digital Media Solutions,"1,380","1,465","1,380","-0,020","-1,43%"
Digitalbridge Group,"11,920","12,340","11,895","-0,170","-1,41%"
DigitalOcean Holdings,"27,86","29,50","27,67","+0,08","+0,29%"
Dillards,"377,19","385,88","370,27","-0,52","-0,14%"
Dine Brands Global,"75,18","75,86","74,70","+0,40","+0,53%"
Dingdong,"5,16","5,68","5,14","-0,29","-5,32%"
Discover,"102,34","106,32","102,21","-3,07","-2,91%"
Dolby Labs,"76,42","76,63","75,45","+0,83","+1,10%"
Dole,"10,14","10,40","10,13","-0,11","-1,07%"
Dollar General,"226,23","232,60","226,15","-5,84","-2,52%"
Doma Holdings,"0,540","0,550","0,509","-0,005","-0,86%"
Dominion Energy,"61,81","62,83","61,60","-0,71","-1,14%"
Domino’s Pizza Inc,"346,48","350,92","344,33","+2,29","+0,67%"
Donaldson,"60,50","61,72","60,41","-0,64","-1,05%"
Donnelley Financial Solutions,"41,23","42,26","41,09","-0,46","-1,10%"
DoorDash,"55,31","57,53","55,04","+0,84","+1,54%"
Dorian LPG Ltd,"17,36","18,57","17,34","-0,62","-3,45%"
DoubleVerify Holdings,"23,12","24,38","23,06","-0,56","-2,36%"
Douglas Dynamics,"38,71","39,11","38,38","-0,06","-0,15%"
Douglas Elliman,"4,62","4,71","4,53","+0,06","+1,21%"
Douglas Emmett,"15,53","15,99","15,38","-0,28","-1,77%"
Dover,"140,52","145,26","140,19","-3,79","-2,63%"
Dow,"56,84","58,35","56,77","-0,56","-0,98%"
Doximity,"31,83","33,11","31,74","-0,38","-1,18%"
DR Horton,"94,71","97,32","94,39","-0,65","-0,68%"
Dr. Reddy’s Labs ADR,"54,01","54,39","53,89","+0,22","+0,41%"
DRDGOLD ADR,"8,21","8,67","8,18","-0,28","-3,30%"
Dream Finders,"10,44","11,25","10,43","+0,07","+0,68%"
Dril-Quip,"27,19","29,35","27,17","-1,81","-6,24%"
DT Midstream,"52,88","55,10","52,87","-1,74","-3,19%"
DTE Energy,"113,90","117,79","113,77","-3,41","-2,91%"
Duckhorn Portfolio,"15,94","16,21","15,86","-0,24","-1,48%"
Ducommun,"54,91","56,96","54,53","-1,27","-2,26%"
Duke Energy,"102,25","104,58","102,01","-1,97","-1,89%"
Dun And Bradstreet,"13,59","13,81","13,56","-0,03","-0,22%"
DuPont De Nemours,"73,18","75,17","73,03","-1,15","-1,55%"
Dutch Bros,"33,63","36,05","33,55","-1,99","-5,59%"
DXC Technology,"28,96","29,73","28,94","-0,14","-0,48%"
Dycom Industries,"97,51","101,23","97,21","+0,02","+0,02%"
Dynex Capital,"14,49","14,60","14,33","+0,18","+1,26%"
E2open Parent Holdings,"5,97","6,12","5,94","-0,04","-0,67%"
Eagle Materials,"141,44","144,90","141,32","-0,90","-0,63%"
Earthstone Energy,"13,52","14,39","13,51","-0,41","-2,94%"
Easterly Government Properties,"15,84","16,19","15,76","-0,03","-0,19%"
EastGroup Properties,"161,90","162,88","159,44","+2,66","+1,67%"
Eastman Chemical,"88,27","90,61","88,22","-1,18","-1,32%"
Eastman Kodak,"3,490","3,740","3,470","-0,180","-4,90%"
Eaton,"157,53","163,22","157,31","-4,88","-3,00%"
Ecolab,"150,35","154,56","150,21","-2,85","-1,86%"
Ecopetrol ADR,"11,96","12,22","11,62","+0,46","+4,00%"
Ecovyst,"9,99","10,04","9,93","+0,07","+0,71%"
Edenor ADR,"8,710","9,400","8,670","-0,640","-6,84%"
Edgewell Personal Care,"41,28","42,33","41,15","-0,85","-2,02%"
Edison,"66,79","68,99","66,76","-1,91","-2,78%"
Edwards Lifesciences,"78,31","79,45","78,15","-0,55","-0,70%"
Elanco Animal Health,"12,67","12,99","12,57","-0,16","-1,25%"
Elastic,"51,33","54,55","51,13","-1,19","-2,27%"
Eldorado Gold,"8,80","9,23","8,70","+0,06","+0,69%"
Element Solutions,"19,43","19,75","19,34","+0,03","+0,15%"
Elevance Health,"471,71","486,32","471,10","-9,25","-1,92%"
Elevate Credit,"1,830","1,830","1,810","0,000","0,00%"
ELF Beauty,"53,64","54,70","53,00","+0,02","+0,04%"
Eli Lilly,"352,01","359,00","351,58","-5,73","-1,60%"
Ellington Financial,"13,63","13,75","13,58","-0,01","-0,07%"
Ellington Residential Mortgage,"7,85","7,90","7,79","0,00","0,00%"
Elme,"18,16","18,74","18,15","-0,28","-1,52%"
Embotelladora Andina,"11,84","11,84","11,62","+0,12","+0,98%"
Embotelladora Andina B ADR,"13,50","13,89","13,45","-0,39","-2,81%"
Embraer ADR,"12,61","13,27","12,60","-0,24","-1,83%"
EMCOR,"147,23","150,81","146,85","-1,17","-0,79%"
Emerald Expositions,"3,560","3,645","3,435","+0,120","+3,49%"
Emeren DRC,"5,280","5,450","5,240","-0,090","-1,68%"
Emergent Biosolutions,"13,28","13,71","13,14","+0,08","+0,61%"
Emerson,"89,21","91,31","89,12","-2,03","-2,22%"
Empire State Realty,"7,51","7,67","7,45","-0,04","-0,53%"
Employers,"42,97","43,20","42,61","-0,15","-0,35%"
Enbridge,"41,19","42,11","41,15","-0,49","-1,18%"
Encompass Health,"61,34","62,11","61,04","+0,18","+0,29%"
Endava,"84,08","85,50","83,18","+1,58","+1,92%"
Endeavor Group,"20,82","21,85","20,79","-0,84","-3,88%"
Endeavour Silver,"3,480","3,750","3,480","-0,070","-1,97%"
Enel Chile ADR,"2,140","2,200","2,130","-0,010","-0,47%"
Enerflex,"7,34","7,55","7,31","+0,11","+1,52%"
Energizer,"36,38","37,20","36,20","-0,63","-1,70%"
Energy of Minas Gerais,"2,220","2,300","2,203","-0,020","-0,89%"
Energy of Minas Gerais DRC,"3,230","3,310","3,212","+0,050","+1,57%"
Energy Vault Holdings,"4,80","5,51","4,00","+1,24","+34,83%"
Enerpac Tool Group,"24,65","25,31","24,58","-0,45","-1,79%"
Enerplus,"17,350","18,020","17,340","-0,230","-1,31%"
Enersys,"79,69","82,05","79,11","-0,98","-1,21%"
Eneti,"10,31","11,00","10,27","-0,47","-4,36%"
Enfusion,"11,54","11,90","11,38","+0,15","+1,32%"
EngageSmart LLC,"18,74","19,32","18,65","-0,09","-0,48%"
Enhabit,"14,30","14,60","13,75","+0,51","+3,70%"
ENI ADR,"30,99","31,56","30,89","-0,14","-0,45%"
EnLink Midstream LLC,"12,810","13,420","12,790","-0,470","-3,54%"
Ennis,"21,09","21,58","20,94","-0,49","-2,27%"
Enova International Inc,"40,21","41,18","40,04","-0,46","-1,13%"
Enovis,"58,37","59,68","57,83","+0,45","+0,78%"
Enpro Industries,"115,54","118,37","115,48","-1,61","-1,37%"
Entergy,"107,59","109,94","106,47","+0,68","+0,64%"
Entravision,"5,900","5,990","5,880","-0,010","-0,17%"
Envestnet,"65,84","67,16","65,67","-0,31","-0,47%"
Envista Holdings,"35,41","36,34","35,31","-0,29","-0,81%"
Enviva Partners LP,"48,28","52,00","48,03","-1,92","-3,82%"
Enzo Biochem,"1,490","1,570","1,470","-0,040","-2,61%"
EOG Resources,"128,79","133,82","128,30","-1,27","-0,98%"
EPAM Systems,"352,90","371,10","352,40","-4,73","-1,32%"
EPR Properties,"40,12","41,13","40,08","-0,71","-1,74%"
EQT,"33,65","35,13","33,59","-1,54","-4,38%"
Equifax,"217,62","221,23","217,27","+1,54","+0,71%"
Equinor ADR,"30,81","31,75","30,80","-0,34","-1,09%"
Equitrans Midstream,"7,040","7,280","7,020","-0,160","-2,22%"
Equity Commonwealth,"25,31","25,73","25,25","-0,20","-0,78%"
Equity Lifestyle,"67,41","68,70","67,20","-0,70","-1,03%"
Equity Residential,"60,73","61,78","60,43","-0,64","-1,04%"
Ermenegildo Zegna NV,"11,21","11,47","11,14","+0,05","+0,45%"
Ero Copper,"15,67","16,31","15,50","+0,52","+3,43%"
ESAB Corp,"53,63","54,74","53,06","-0,13","-0,24%"
ESCO Technologies,"93,83","94,73","93,11","+0,23","+0,25%"
ESS Tech,"2,220","2,340","2,210","-0,070","-3,06%"
Essent Group Ltd,"40,18","41,27","39,95","+0,14","+0,35%"
Essential Properties,"24,46","24,94","24,38","-0,18","-0,73%"
Essential Utilities,"47,07","48,34","46,75","-1,16","-2,41%"
Essex Property,"215,34","220,96","215,22","-4,74","-2,15%"
Estee Lauder,"263,25","268,76","263,08","-3,79","-1,42%"
Ethan Allen Interiors,"28,58","29,42","28,50","-0,58","-1,99%"
Euronav,"15,460","15,660","15,330","+0,190","+1,24%"
Eve Holding,"7,57","7,68","7,25","+0,33","+4,56%"
Eventbrite A,"7,80","7,97","7,62","+0,19","+2,50%"
Evercore,"123,84","127,52","123,61","-2,58","-2,04%"
Everest,"345,48","348,32","343,86","-1,19","-0,34%"
Everi Holdings,"15,88","16,44","15,84","-0,14","-0,87%"
Eversource Energy,"81,21","84,20","80,77","-2,52","-3,01%"
Evertec Inc,"34,99","35,77","34,94","+0,19","+0,55%"
Evolent Health Inc,"30,02","31,17","30,00","-0,83","-2,69%"
Evoqua Water,"41,20","42,24","41,11","-0,62","-1,48%"
Excelerate Energy,"24,48","24,80","24,32","+0,10","+0,41%"
Express,"1,020","1,160","1,020","-0,080","-7,27%"
Expro Holdings NV,"18,010","19,090","17,900","-0,870","-4,61%"
Extra Space Storage,"150,82","153,75","150,61","-2,28","-1,49%"
Exxon Mobil,"110,61","114,12","110,40","-2,32","-2,05%"
F G Annuities Life,"20,68","21,64","20,67","-0,41","-1,94%"
F45 Training Holdings,"2,90","3,18","2,89","-0,21","-6,75%"
Fabrinet,"135,24","138,56","134,57","-2,58","-1,87%"
FactSet Research,"429,42","437,19","429,22","+0,72","+0,17%"
Fair Isaac,"629,97","640,50","619,17","+2,09","+0,33%"
Farfetch A,"6,12","6,52","6,10","-0,06","-0,97%"
Farmland Partners,"13,33","13,61","13,26","-0,16","-1,19%"
Fastly,"10,29","10,70","10,12","+0,13","+1,28%"
Fathom Digital Manufacturing,"1,810","1,962","1,810","-0,080","-4,23%"
FB Financial,"35,70","36,66","35,69","-1,26","-3,41%"
Federal Agricultural Mortgage,"120,35","122,72","120,13","-2,21","-1,80%"
Federal Agricultural Mortgage A,"105,13","105,13","105,13","+0,00","+0,00%"
Federal Realty,"108,50","111,58","108,39","-2,36","-2,13%"
Federal Signal,"48,97","50,29","48,96","-0,62","-1,25%"
Federated Investors B,"38,47","39,07","38,26","-0,09","-0,23%"
FedEx,"187,67","191,71","187,52","-0,46","-0,24%"
Ferguson,"137,96","141,06","137,65","-0,43","-0,31%"
Ferrari NV,"239,71","242,64","239,71","+1,85","+0,78%"
Fidelity Financial,"41,11","41,78","40,77","+0,19","+0,46%"
Fidelity National Info,"69,64","71,98","69,59","-1,77","-2,48%"
Figs,"8,15","8,58","8,09","-0,07","-0,85%"
Finance of America Companies,"1,660","1,690","1,640","0,000","0,00%"
FinVolution Group,"5,350","5,555","5,320","-0,130","-2,37%"
First American,"59,51","60,24","58,28","+1,01","+1,73%"
First Bancorp,"12,79","13,27","12,74","-0,45","-3,40%"
First Commonwealth Financial,"13,89","14,25","13,81","-0,40","-2,80%"
First Horizon National,"24,57","24,65","24,55","+0,06","+0,24%"
First Industrial RT,"51,36","52,12","51,10","+0,09","+0,18%"
First Majestic Silver,"8,36","8,78","8,36","-0,18","-2,11%"
First Republic Bank,"131,69","134,19","129,71","+0,29","+0,22%"
FirstEnergy,"42,12","43,11","41,94","-0,87","-2,02%"
Fiscalnote Holdings,"5,070","5,930","5,000","-0,640","-11,21%"
Fisker,"7,10","7,65","7,10","-0,25","-3,40%"
Five Point,"2,260","2,470","2,200","+0,050","+2,26%"
Fiverr International,"33,28","35,25","33,19","-0,91","-2,66%"
FleetCor,"191,83","196,92","191,36","-2,87","-1,47%"
FLEX LNG,"31,51","32,70","31,51","-0,43","-1,35%"
Floor & Decor,"85,22","88,50","85,11","+1,23","+1,46%"
Flotek,"1,3800","1,3800","1,1800","+0,1800","+15,00%"
Flowers Foods,"27,03","28,00","27,03","-0,96","-3,43%"
Flowserve,"32,80","33,57","32,79","-0,14","-0,43%"
Fluor,"35,29","35,59","35,04","+0,16","+0,46%"
FMC,"126,62","129,95","126,59","-2,01","-1,56%"
FNB,"12,74","13,11","12,72","-0,42","-3,19%"
Fomento Economico Mexicano,"84,78","87,88","84,69","-1,39","-1,61%"
Foot Locker,"38,41","39,92","38,27","-0,05","-0,13%"
Ford Motor,"12,41","12,85","12,40","-0,26","-2,05%"
Foreign Trade Bank of Latin America,"16,68","17,04","16,58","-0,38","-2,23%"
Forestar,"16,50","17,02","16,49","-0,35","-2,08%"
Forge Global Holdings,"2,070","2,170","1,930","+0,110","+5,61%"
ForgeRock,"19,88","20,21","19,87","-0,23","-1,14%"
Fortis Inc,"41,37","42,28","41,36","-0,74","-1,76%"
Fortive,"66,34","67,97","66,26","-0,99","-1,47%"
Fortuna Silver,"3,490","3,650","3,490","-0,050","-1,41%"
Fortune Brands,"61,71","63,95","61,69","-0,76","-1,22%"
Forum Energy,"30,41","32,85","30,05","+0,46","+1,54%"
Four Corners Property Trust Inc,"27,96","28,62","27,89","-0,50","-1,76%"
Four Seasons Education,"8,0900","8,0900","8,0000","0,0000","0,00%"
Franco-Nevada,"143,73","144,85","142,33","+1,61","+1,13%"
Franklin BSP Realty Trust,"13,980","14,370","13,860","-0,260","-1,83%"
Franklin Covey,"44,92","46,13","44,79","-0,09","-0,20%"
Franklin Resources,"29,91","30,41","29,75","+0,13","+0,44%"
Freeport-McMoran,"43,92","46,38","43,89","-0,23","-0,52%"
Fresenius Medical Care ADR,"17,97","18,34","17,97","-0,21","-1,16%"
Fresh Del Monte Produce,"27,11","28,05","27,10","-0,95","-3,39%"
FREYR Battery,"10,55","11,16","10,50","-0,05","-0,47%"
Frontline,"13,590","14,130","13,590","-0,540","-3,82%"
FTI Consulting,"155,14","163,62","155,14","-8,15","-4,99%"
Fubotv,"2,17","2,40","2,11","-0,08","-3,56%"
Full Truck Alliance Co,"8,66","9,25","8,41","-0,96","-9,98%"
FutureFuel,"9,380","9,750","9,350","-0,140","-1,47%"
GameStop Corp,"20,79","22,15","20,50","-1,01","-4,63%"
Gannett,"2,180","2,420","2,160","-0,180","-7,63%"
Gaotu Techedu DRC,"3,46","3,98","3,39","-0,18","-4,95%"
Gap,"12,99","13,39","12,96","+0,16","+1,25%"
GAP ADR,"173,13","176,81","172,60","-0,53","-0,31%"
Garmin,"96,63","99,09","96,54","-1,15","-1,18%"
Gartner,"330,60","337,05","327,43","-3,31","-0,99%"
Gates Industrial Corp,"12,39","12,65","12,39","-0,15","-1,16%"
Gatos Silver,"4,88","5,22","4,88","-0,14","-2,79%"
GATX,"110,61","111,91","110,11","-0,69","-0,62%"
Gelesis Holdings,"0,32","0,37","0,32","-0,05","-13,49%"
Genco Shipping Trading,"16,51","16,90","16,44","-0,16","-0,96%"
Generac,"113,91","117,00","113,20","-0,59","-0,52%"
General Dynamics,"237,00","242,00","236,76","-4,14","-1,72%"
General Electric,"79,27","81,18","79,14","-1,22","-1,52%"
General Mills,"78,41","81,45","78,09","-3,45","-4,21%"
General Motors,"36,44","37,53","36,42","-0,17","-0,46%"
Genesco,"45,87","48,13","45,78","-0,58","-1,25%"
Genie Energy,"10,250","10,850","10,120","-0,550","-5,09%"
Genius Sports,"4,29","4,37","4,26","+0,03","+0,70%"
Genpact,"46,93","47,89","46,85","-0,45","-0,95%"
Genuine Parts,"166,20","170,00","165,89","-2,34","-1,39%"
Genworth,"5,280","5,360","5,270","-0,040","-0,75%"
Geo,"11,210","11,670","11,180","-0,290","-2,52%"
GeoPark Ltd,"15,02","15,73","14,77","-0,11","-0,73%"
Gerdau ADR,"6,460","6,655","6,450","+0,120","+1,89%"
Getty,"34,59","35,24","34,48","-0,51","-1,45%"
Getty Images Holdings,"5,300","5,810","5,280","-0,160","-2,93%"
Gfl Environmental,"30,02","30,65","29,91","-0,55","-1,80%"
Gildan Activewear,"30,82","31,50","30,78","-0,30","-0,96%"
Ginkgo Bioworks,"1,830","2,060","1,810","-0,160","-8,04%"
Glacier,"46,36","49,00","46,29","-2,94","-5,96%"
Glatfelter,"3,34","3,56","3,31","-0,19","-5,38%"
Glaukos Corp,"48,68","49,76","48,20","-0,43","-0,88%"
Global Blue Group Holding,"5,55","5,55","5,12","+0,08","+1,46%"
Global Business Travel,"6,660","6,710","6,355","+0,250","+3,90%"
Global Indemnity,"30,13","30,72","29,84","+0,13","+0,43%"
Global Industrial Co,"25,09","25,57","24,97","-0,24","-0,95%"
Global Medical,"10,49","10,61","10,43","0,00","0,00%"
Global Net Lease,"13,82","14,22","13,74","-0,32","-2,26%"
Global Payments,"109,21","113,44","109,18","-2,25","-2,02%"
Global Ship Lease,"17,80","18,12","17,75","+0,06","+0,34%"
Globant SA,"164,96","175,38","164,91","-7,40","-4,29%"
Globe Life,"118,63","120,78","118,57","-1,93","-1,60%"
Globus Medical,"72,02","73,76","71,85","-0,89","-1,22%"
GMS Inc,"53,56","54,68","53,22","+0,34","+0,64%"
Godaddy Inc,"78,15","79,49","77,61","+2,32","+3,06%"
Gol Linhas Aereas ADR,"2,960","3,175","2,950","-0,010","-0,34%"
Gold Fields ADR,"12,060","12,530","12,060","-0,090","-0,74%"
Goldman Sachs,"349,09","354,79","347,80","-0,83","-0,24%"
Gorman-Rupp,"26,85","27,39","26,66","-0,41","-1,50%"
Graco,"68,78","70,22","68,65","-0,68","-0,98%"
GrafTech,"5,72","5,77","5,69","+0,05","+0,88%"
Graham,"9,74","10,10","9,74","-0,11","-1,12%"
Graham Holdings,"611,00","629,32","607,20","-15,24","-2,43%"
Granite Construction,"39,37","39,85","38,93","+0,37","+0,95%"
Granite Point Mortgage,"6,23","6,32","6,11","+0,03","+0,48%"
Graphic Packaging,"22,29","22,53","22,25","+0,06","+0,27%"
Gravitas Education Holdings ADR,"14,91","14,91","14,91","-0,03","-0,23%"
Gray Television,"11,60","11,94","11,51","-0,13","-1,11%"
Gray Television,"12,00","12,00","12,00","+0,31","+2,65%"
Great Ajax Corp,"8,70","8,88","8,37","-0,03","-0,34%"
Green Brick Partners Inc,"27,66","29,20","27,55","-0,53","-1,88%"
Green Dot,"17,01","17,78","16,98","-0,44","-2,52%"
Greenbrier,"28,91","29,56","28,57","+0,40","+1,40%"
Greenhill&Co,"12,72","13,04","12,48","-0,19","-1,47%"
GreenTree Hospitality,"4,05","4,18","4,03","0,00","0,00%"
Greif Bros,"68,23","69,95","68,17","-1,13","-1,63%"
Greif Bros B,"79,34","81,09","79,20","-1,34","-1,66%"
Griffon,"38,57","40,74","38,57","-1,30","-3,26%"
Grindr,"5,38","5,78","5,26","-0,30","-5,28%"
Group 1 Automotive,"192,80","196,66","189,65","+3,16","+1,67%"
Grove Collaborative Holdings,"0,590","0,679","0,560","-0,020","-3,25%"
Grupo Aeroportuario Sureste ADR,"274,29","278,35","273,01","+1,30","+0,48%"
Grupo Aval,"2,450","2,500","2,430","+0,050","+2,08%"
Grupo Supervielle,"2,700","3,220","2,680","-0,400","-12,90%"
Grupo Televisa ADR,"5,74","5,80","5,67","+0,07","+1,23%"
